Altium Designer Pick and Place Locations
C:\git\TomKeddie\prj-teachmepcb\2020-rigid\Badge\Project Outputs for Badge\Pick Place for badge.txt

========================================================================================================================
File Design Information:

Date:       12-07-20
Time:       08:30
Revision:   6a5c5de8d4d47495f2e168a04d1578799d17006f
Variant:    No variations
Units used: mm

Designator Comment                  Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                    MF                   MP                      
U1         ATMEGA328P-AUR           TopLayer    QFP80P900X900X120-32N     61.5950      34.6710      0        "AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB _16K x 16_ FLASH 32-TQFP _7x7_"          Microchip            ATMEGA328P-AUR          
C13        ""                       TopLayer    C1206__POL                49.7840      22.2250      180      Capacitor                                                                                      KEMET                T491A106K010AT          
C8         ""                       TopLayer    C1206__POL                88.9000      49.4030      270      Capacitor                                                                                      KEMET                T491A106K010AT          
C7         ""                       TopLayer    C1206__POL                79.2480      55.3720      90       Capacitor                                                                                      KEMET                T491A106K010AT          
J1         MICROUSB_TAOBAO          BottomLayer MICROUSB_TAOBAO           113.2520     43.8150      270      ""                                                                                             DNP                  DNP                     
U2         MCP7940MT-I/SN           BottomLayer SOIC127P600X175-8N        49.7040      51.0540      270      "Real Time Clock _RTC_ IC Clock/Calendar 64B I²C, 2-Wire Serial 8-SOIC _0.154, 3.90mm Width_" Microchip            MCP7940MT-I/SN          
C30        Cap                      TopLayer    C0603                     67.9450      33.5280      270      Capacitor                                                                                      KEMET                C0603C104Z3VACTU        
P2         PWRIN                    BottomLayer PWRIN                     112.0395     54.1020      180      ""                                                                                             Molex                S2B-PH-SM4-TB(LF)(SN)   
S6         JS202011SCQN             TopLayer    SW_JS202011SCQN           100.6460     54.1020      0        "Slide Switch DPDT Surface Mount"                                                              C&K                  JS202011SCQN            
Y3         MC-405_32.7680K-D:_ROHS  BottomLayer XTAL320X150               64.2620      56.2610      0        "32.768kHz ±20ppm Crystal 35 kOhms 4-SOJ, 2.29mm pitch"                                       DNP                  DNP                     
Y2         ABM3-16.000MHZ-B2-T      TopLayer    XTAL_ECS-100-20-5PVX      49.7840      32.8930      90       "16MHz ±20ppm Crystal 18pF 40 Ohms 2-SMD, No Lead"                                            DNP                  DNP                     
Y1         MC-405_32.7680K-D:_ROHS  BottomLayer XTAL320X150               43.5610      53.4670      270      "32.768kHz ±20ppm Crystal 35 kOhms 4-SOJ, 2.29mm pitch"                                       DNP                  DNP                     
U5         ATSAMD11C14A             BottomLayer SOIC127P600X175-14N       90.0430      46.8630      360      ""                                                                                             Atmel                ATSAMD11C14A-SSNTDKR-ND 
U4         MIC5219BM5               TopLayer    SOT23-5_N                 88.9000      53.9750      180      "Linear Voltage Regulator IC 1 Output 500mA SOT-23-5"                                          Micrel               MIC5219BM5              
U3         MIC5219BM5               TopLayer    SOT23-5_N                 85.3440      49.4030      0        "Linear Voltage Regulator IC 1 Output 500mA SOT-23-5"                                          Micrel               MIC5219BM5              
SENSOR1    BME280                   BottomLayer PSON65P250X250X100-8N     63.5710      65.0000      90       "Humidity Temperature Sensor 0 ~ 100% RH I²C, SPI ±3% 1s Surface Mount"                      Bosch                BME280                  
S5         B3S-1000P                TopLayer    SW_B3S-1000P              100.6460     30.0070      0        "Tactile Switch SPST-NO Top Actuated Surface Mount"                                            "Omron Electronics"  B3S-1000P               
S4         B3S-1000P                TopLayer    SW_B3S-1000P              90.6460      30.0070      90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                            "Omron Electronics"  B3S-1000P               
S3         B3S-1000P                TopLayer    SW_B3S-1000P              100.6460     20.0070      0        "Tactile Switch SPST-NO Top Actuated Surface Mount"                                            "Omron Electronics"  B3S-1000P               
S2         B3S-1000P                TopLayer    SW_B3S-1000P              110.6460     30.0070      90       "Tactile Switch SPST-NO Top Actuated Surface Mount"                                            "Omron Electronics"  B3S-1000P               
S1         B3S-1000P                TopLayer    SW_B3S-1000P              100.6460     40.0070      0        "Tactile Switch SPST-NO Top Actuated Surface Mount"                                            "Omron Electronics"  B3S-1000P               
R33        Res                      TopLayer    R0603                     78.2320      48.7680      270      Resistor                                                                                       Yageo                RC0603JR-070RL          
R32        Res                      BottomLayer R0603                     71.8820      48.8950      270      Resistor                                                                                       Yageo                RC0603JR-0710KL         
R31`       Res                      TopLayer    R0603                     79.5020      29.5000      90       Resistor                                                                                       Yageo                RC0603JR-0743KL         
R30        Res                      TopLayer    R0603                     77.8510      29.5000      270      Resistor                                                                                       Yageo                RC0603JR-0712KL         
R29        Res                      TopLayer    R0603                     79.5020      25.2500      270      Resistor                                                                                       Yageo                RC0603JR-0743KL         
R28        Res                      TopLayer    R0603                     79.5020      33.7500      270      Resistor                                                                                       Yageo                RC0603JR-0743KL         
R27        Res                      TopLayer    R0603                     77.8510      25.2500      90       Resistor                                                                                       Yageo                RC0603JR-0712KL         
R26        Res                      TopLayer    R0603                     77.8510      33.7500      90       Resistor                                                                                       Yageo                RC0603JR-0712KL         
R25        Res                      TopLayer    R0603                     79.5020      21.0000      90       Resistor                                                                                       Yageo                RC0603JR-0743KL         
R24        Res                      TopLayer    R0603                     79.5020      38.0000      90       Resistor                                                                                       Yageo                RC0603JR-0743KL         
R23        Res                      TopLayer    R0603                     77.8510      21.0000      270      Resistor                                                                                       Yageo                RC0603JR-0712KL         
R22        Res                      TopLayer    R0603                     77.8510      38.0000      270      Resistor                                                                                       Yageo                RC0603JR-0712KL         
R21        Res                      BottomLayer R0603                     58.4200      50.2920      360      Resistor                                                                                       Yageo                RC0603JR-0710KL         
R20        Res                      BottomLayer R0603                     68.7070      48.0060      180      Resistor                                                                                       Yageo                RC0603JR-0710KL         
R19        Res                      BottomLayer R0603                     68.7070      49.7840      180      Resistor                                                                                       Yageo                RC0603JR-0710KL         
R18        Res                      BottomLayer R0603                     62.8650      46.4820      270      Resistor                                                                                       Yageo                RC0603JR-0710KL         
R17        Res                      BottomLayer R0603                     111.8870     35.9410      360      Resistor                                                                                       Yageo                RC0603FR-071ML          
